Date_reported,ind_cum_cases,usa_cum_cases,brazil_cum_cases,russia_cum_cases,ind_new_cases,usa_new_cases,china_new_cases,russia_new_cases,brazil_new_cases
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,1,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,3,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,41,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,4,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,76,0,0
2020-01-20,0,1,0,0,0,1,77,0,0
2020-01-21,0,1,0,0,0,0,93,0,0
2020-01-22,0,1,0,0,0,0,147,0,0
2020-01-23,0,1,0,0,0,0,132,0,0
2020-01-24,0,1,0,0,0,0,261,0,0
2020-01-25,0,1,0,0,0,0,462,0,0
2020-01-26,0,2,0,0,0,1,688,0,0
2020-01-27,0,2,0,0,0,0,776,0,0
2020-01-28,0,3,0,0,0,1,1772,0,0
2020-01-29,0,3,0,0,0,0,1464,0,0
2020-01-30,1,3,0,0,1,0,1739,0,0
2020-01-31,5,3,0,2,4,0,1984,2,0
2020-02-01,5,3,0,2,0,0,2101,0,0
2020-02-02,2,4,0,2,-3,1,2590,0,0
2020-02-03,3,5,0,2,1,1,2827,0,0
2020-02-04,7,8,0,2,4,3,3233,0,0
2020-02-05,7,11,0,2,0,3,3892,0,0
2020-02-06,7,11,0,2,0,0,3697,0,0
2020-02-07,7,11,0,2,0,0,3151,0,0
2020-02-08,7,11,0,2,0,0,3387,0,0
2020-02-09,7,12,0,2,0,1,2653,0,0
2020-02-10,7,12,0,2,0,0,2984,0,0
2020-02-11,7,12,0,2,0,0,2473,0,0
2020-02-12,7,12,0,2,0,0,2022,0,0
2020-02-13,7,12,0,2,0,0,15152,0,0
2020-02-14,7,13,0,2,0,1,4050,0,0
2020-02-15,7,14,0,2,0,1,2644,0,0
2020-02-16,7,14,0,2,0,0,2008,0,0
2020-02-17,7,14,0,2,0,0,2051,0,0
2020-02-18,7,14,0,2,0,0,1893,0,0
2020-02-19,7,16,0,2,0,2,1750,0,0
2020-02-20,7,21,0,2,0,5,397,0,0
2020-02-21,7,24,0,2,0,3,893,0,0
2020-02-22,7,25,0,2,0,1,825,0,0
2020-02-23,7,30,0,2,0,5,649,0,0
2020-02-24,7,36,0,2,0,6,220,0,0
2020-02-25,7,36,0,2,0,0,517,0,0
2020-02-26,7,40,5,2,0,4,411,0,5
2020-02-27,7,44,5,2,0,4,440,0,0
2020-02-28,7,52,5,2,0,8,329,0,0
2020-02-29,7,57,5,2,0,5,430,0,0
2020-03-01,7,61,6,2,0,4,579,0,1
2020-03-02,5,70,6,2,-2,9,206,0,0
2020-03-03,9,88,6,3,4,18,128,1,0
2020-03-04,28,124,7,3,19,36,120,0,1
2020-03-05,29,188,11,3,1,64,143,0,4
2020-03-06,31,255,12,4,2,67,145,1,1
2020-03-07,34,333,17,4,3,78,103,0,5
2020-03-08,39,454,23,7,5,121,46,3,6
2020-03-09,44,614,29,7,5,160,45,0,6
2020-03-10,50,825,29,7,6,211,20,0,0
2020-03-11,60,1240,38,7,10,415,31,0,9
2020-03-12,73,1736,56,20,13,496,25,13,18
2020-03-13,81,2250,81,34,8,514,11,14,25
2020-03-14,84,2998,125,34,3,748,30,0,44
2020-03-15,107,3912,125,34,23,914,27,0,0
2020-03-16,114,5154,204,34,7,1242,29,0,79
2020-03-17,137,7332,238,93,23,2178,40,59,34
2020-03-18,151,9664,295,93,14,2332,34,0,57
2020-03-19,173,12877,428,147,22,3213,86,54,133
2020-03-20,223,17782,621,199,50,4905,63,52,193
2020-03-21,283,23932,904,253,60,6150,116,54,283
2020-03-22,360,31406,904,306,77,7474,82,53,0
2020-03-23,434,40624,904,438,74,9218,103,132,0
2020-03-24,519,51423,1546,495,85,10799,146,57,642
2020-03-25,606,62193,2201,658,87,10770,101,163,655
2020-03-26,649,73544,2433,840,43,11351,113,182,232
2020-03-27,724,87538,2433,1036,75,13994,117,196,0
2020-03-28,909,106263,2915,1264,185,18725,135,228,482
2020-03-29,979,126483,3417,1534,70,20220,128,270,502
2020-03-30,1071,147103,3904,1837,92,20620,106,303,487
2020-03-31,1251,173399,4256,2337,180,26296,98,500,352
2020-04-01,1637,188946,4579,2777,386,15547,86,440,323
2020-04-02,1965,212458,5717,2777,328,23512,93,0,1138
2020-04-03,2301,240790,6836,3548,336,28332,78,771,1119
2020-04-04,2902,270734,7910,4149,601,29944,73,601,1074
2020-04-05,3374,302539,9056,4731,472,31805,55,582,1146
2020-04-06,4067,335003,10278,5389,693,32464,75,658,1222
2020-04-07,4421,362025,11130,6343,354,27022,67,954,852
2020-04-08,5274,390690,12056,7497,853,28665,85,1154,926
2020-04-09,5865,420028,13717,10131,591,29338,92,2634,1661
2020-04-10,6412,454136,15927,11917,547,34108,56,1786,2210
2020-04-11,7447,488933,17857,13584,1035,34797,64,1667,1930
2020-04-12,8356,521624,19638,15770,909,32691,113,2186,1781
2020-04-13,9152,553805,20727,18328,796,32181,115,2558,1089
2020-04-14,10363,580893,22169,21102,1211,27088,99,2774,1442
2020-04-15,11439,605977,23430,24490,1076,25084,49,3388,1261
2020-04-16,12380,631117,25262,27938,941,25140,52,3448,1832
2020-04-17,13387,656262,28320,32008,1007,25145,27,4070,3058
2020-04-18,14378,687988,30425,36793,991,31726,356,4785,2105
2020-04-19,15712,718514,33682,42853,1334,30526,21,6060,3257
2020-04-20,17265,746105,36599,47121,1553,27591,36,4268,2917
2020-04-21,18601,773132,38654,52763,1336,27027,13,5642,2055
2020-04-22,19984,799268,40581,57999,1383,26136,37,5236,1927
2020-04-23,21393,824637,43079,62773,1409,25369,15,4774,2498
2020-04-24,23077,855672,45757,68622,1684,31035,9,5849,2678
2020-04-25,24506,888715,49492,74588,1429,33043,13,5966,3735
2020-04-26,26496,923696,52995,80949,1990,34981,14,6361,3503
2020-04-27,27892,957063,58509,87147,1396,33367,3,6198,5514
2020-04-28,29435,983387,61888,93558,1543,26324,6,6411,3379
2020-04-29,31332,1007857,66501,99399,1897,24470,22,5841,4613
2020-04-30,33050,1031222,71886,106498,1718,23365,4,7099,5385
2020-05-01,35043,1058252,78162,114431,1993,27030,12,7933,6276
2020-05-02,37336,1089817,85380,124054,2293,31565,3,9623,7218
2020-05-03,39980,1121763,91589,134687,2644,31946,5,10633,6209
2020-05-04,42533,1150156,96559,145268,2553,28393,7,10581,4970
2020-05-05,46433,1177041,101147,155370,3900,26885,4,10102,4588
2020-05-06,49391,1198440,107780,165929,2958,21399,2,10559,6633
2020-05-07,52952,1221297,114715,177160,3561,22857,3,11231,6935
2020-05-08,56342,1246612,125218,187859,3390,25315,6,10699,10503
2020-05-09,59662,1276107,135106,198676,3320,29495,1,10817,9888
2020-05-10,62939,1304190,145328,209688,3277,28083,14,11012,10222
2020-05-11,67152,1330160,155939,221344,4213,25970,20,11656,10611
2020-05-12,70756,1352080,162699,232243,3604,21920,1,10899,6760
2020-05-13,74281,1371450,168331,242271,3525,19370,7,10028,5632
2020-05-14,78003,1395633,177589,252245,3722,24183,6,9974,9258
2020-05-15,81970,1413024,188974,262843,3967,17391,5,10598,11385
2020-05-16,85940,1447464,202918,272043,3970,34440,9,9200,13944
2020-05-17,90927,1474666,218223,281752,4987,27202,6,9709,15305
2020-05-18,96169,1500111,233142,290678,5242,25445,10,8926,14919
2020-05-19,101139,1520164,241080,299941,4970,20053,6,9263,7938
2020-05-20,106750,1543062,254220,308705,5611,22898,5,8764,13140
2020-05-21,112359,1564741,271628,317554,5609,21679,2,8849,17408
2020-05-22,118447,1588743,291579,326448,6088,24002,13,8894,19951
2020-05-23,125101,1614568,310087,335882,6654,25825,2,9434,18508
2020-05-24,131868,1640393,330890,344481,6767,25825,3,8599,20803
2020-05-25,138845,1661611,347398,353427,6977,21218,11,8946,16508
2020-05-26,145380,1683350,363211,362342,6535,21739,7,8915,15813
2020-05-27,151767,1702790,374898,370680,6387,19440,1,8338,11687
2020-05-28,158333,1719533,391222,379051,6566,16743,3,8371,16324
2020-05-29,165799,1739322,411821,387623,7466,19789,0,8572,20599
2020-05-30,173763,1763507,438238,396575,7964,24185,18,8952,26417
2020-05-31,182143,1787293,465166,405843,8380,23786,5,9268,26928
2020-06-01,190535,1811266,498440,414878,8392,23973,18,9035,33274
2020-06-02,198706,1832682,514849,423741,8171,21416,9,8863,16409
2020-06-03,207615,1849706,526447,432277,8909,17024,5,8536,11598
2020-06-04,216919,1870465,555383,441108,9304,20759,1,8831,28936
2020-06-05,226770,1891469,584016,449834,9851,21004,11,8726,28633
2020-06-06,236657,1912116,614941,458689,9887,20647,6,8855,30925
2020-06-07,246628,1936720,645771,467673,9971,24604,9,8984,30830
2020-06-08,256611,1960501,672846,476658,9983,23781,5,8985,27075
2020-06-09,266598,1978338,691758,485253,9987,17837,1,8595,18912
2020-06-10,276583,1996296,707412,493657,9985,17958,6,8404,15654
2020-06-11,286579,2014778,739503,502436,9996,18482,11,8779,32091
2020-06-12,297535,2037058,772416,511423,10956,22280,7,8987,32913
2020-06-13,308993,2060032,802828,520129,11458,22974,12,8706,30412
2020-06-14,320922,2088481,828810,528964,11929,28449,58,8835,25982
2020-06-15,332424,2114766,850514,537210,11502,26285,49,8246,21704
2020-06-16,343091,2135434,867624,545458,10667,20668,45,8248,17110
2020-06-17,354065,2155970,888271,553301,10974,20536,44,7843,20647
2020-06-18,366946,2180695,923189,561091,12881,24725,36,7790,34918
2020-06-19,380532,2206535,955377,569063,13586,25840,37,7972,32188
2020-06-20,395048,2235206,978142,576952,14516,28671,30,7889,22765
2020-06-21,410461,2268376,1032913,584680,15413,33170,27,7728,54771
2020-06-22,425282,2301764,1067579,592280,14821,33388,21,7600,34666
2020-06-23,440215,2329132,1085038,599705,14933,27368,52,7425,17459
2020-06-24,456183,2357678,1106470,606881,15968,28546,28,7176,21432
2020-06-25,473105,2395647,1145906,613994,16922,37969,21,7113,39436
2020-06-26,490401,2432893,1188631,620794,17296,37246,29,6800,42725
2020-06-27,508953,2479936,1228114,627646,18552,47043,24,6852,39483
2020-06-28,528859,2526437,1274974,634437,19906,46501,18,6791,46860
2020-06-29,548318,2569946,1313667,641156,19459,43509,14,6719,38693
2020-06-30,566840,2607519,1344143,647849,18522,37573,23,6693,30476
2020-07-01,585493,2646203,1368195,654405,18653,38684,5,6556,24052
2020-07-02,604641,2692631,1402041,661165,19148,46428,31,6760,33846
2020-07-03,625544,2752100,1448753,667883,20903,59469,15,6718,46712
2020-07-04,648315,2807399,1496858,674515,22771,55299,9,6632,48105
2020-07-05,673165,2867676,1539081,681251,24850,60277,19,6736,42223
2020-07-06,697413,2917189,1577004,687862,24248,49513,14,6611,37923
2020-07-07,719665,2957523,1603055,694230,22252,40334,25,6368,26051
2020-07-08,742417,3008387,1623284,700792,22752,50864,21,6562,20229
2020-07-09,767296,3064230,1668589,707301,24879,55843,33,6509,45305
2020-07-10,793802,3129376,1713160,713936,26506,65146,46,6635,44571
2020-07-11,820916,3191622,1755779,720547,27114,62246,42,6611,42619
2020-07-12,849553,3259840,1800827,727162,28637,68218,35,6615,45048
2020-07-13,878254,3327408,1839850,733699,28701,67568,46,6537,39023
2020-07-14,906752,3387021,1864681,739947,28498,59613,55,6248,24831
2020-07-15,936181,3443061,1884967,746369,29429,56040,54,6422,20286
2020-07-16,968876,3507771,1926824,752797,32695,64710,20,6428,41857
2020-07-17,1003832,3579817,1966748,759203,34956,72046,78,6406,39924
2020-07-18,1038716,3649465,2012151,765437,34884,69648,82,6234,45403
2020-07-19,1077618,3726077,2046328,771546,38902,76612,80,6109,34177
2020-07-20,1118043,3793655,2074860,777486,40425,67578,131,5940,28532
2020-07-21,1155191,3853537,2098389,783328,37148,59882,84,5842,23529
2020-07-22,1192915,3912022,2118646,789190,37724,58485,74,5862,20257
2020-07-23,1238635,3975244,2159654,795038,45720,63222,135,5848,41008
2020-07-24,1287945,4047473,2227514,800849,49310,72229,139,5811,67860
2020-07-25,1336861,4120855,2287475,806720,48916,73382,160,5871,59961
2020-07-26,1385522,4194011,2343366,812485,48661,73156,179,5765,55891
2020-07-27,1435453,4255405,2394513,818120,49931,61394,189,5635,51147
2020-07-28,1483156,4313676,2419091,823515,47703,58271,217,5395,24578
2020-07-29,1531669,4367203,2442375,828990,48513,53527,212,5475,23284
2020-07-30,1583792,4425918,2483191,834499,52123,58715,223,5509,40816
2020-07-31,1638870,4490717,2552265,839981,55078,64799,276,5482,69074
2020-08-01,1695988,4556877,2610102,845443,57118,66160,166,5462,57837
2020-08-02,1750723,4625101,2662485,850870,54735,68224,180,5427,52383
2020-08-03,1803695,4681506,2707877,856264,52972,56405,158,5394,45392
2020-08-04,1855745,4732632,2733677,861423,52050,51126,114,5159,25800
2020-08-05,1908254,4777768,2750318,866627,52509,45136,108,5204,16641
2020-08-06,1964536,4829590,2801921,871894,56282,51822,122,5267,51603
2020-08-07,2027074,4885263,2859073,877135,62538,55673,133,5241,57152
2020-08-08,2088611,4939657,2912212,882347,61537,54394,120,5212,53139
2020-08-09,2153010,5001326,2962442,887536,64399,61669,92,5189,50230
